GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wumpus,org.example,Main,10,0,0,0,4,0,2,0,2,0
Wumpus,org.example,Game,0,31,0,0,0,11,0,5,0,5
Wumpus,org.example,Board,0,78,0,16,0,16,0,12,0,4
Wumpus,org.example,Player,0,45,0,6,0,10,0,8,0,5
